UID          PID    PPID  C STIME TTY          TIME CMD
kernel      1744    1511  0 12:48 ?        00:00:00 Thunar --sm-client-id 2ec742dfe-ea9e-40ac-8544-e0d715ded753 --daemon
kernel      1750    1511  0 12:48 ?        00:00:00 xfdesktop --display :0.0 --sm-client-id 2ccfbb3f3-7c55-4512-b39e-fe80c8bbeb56
kernel      1751    1468  0 12:48 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
kernel      1755    1739  0 12:48 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 25165831 whiskermenu Whisker Menu Show a menu to easily access installed applications
root        1759       1  0 12:48 ?        00:00:00 /usr/libexec/udisks2/udisksd
kernel      1767    1739  0 12:48 ?        00:00:05 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 25165836 cpugraph CPU Graph Graphical representation of the CPU load
kernel      1769    1739  0 12:48 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 25165837 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
kernel      1770    1739  0 12:48 ?        00:00:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 25165838 genmon Generic Monitor Show output of a command.
kernel      1771    1739  0 12:48 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 25165839 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kernel      1772    1739  0 12:48 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 25165840 notification-plugin Notification Plugin Notification plugin for the Xfce panel
